workload,db,threads,throughput
workloada.spec,bwtree,1,163.837
workloada.spec,bwtree,1,154.756
workloada.spec,bwtree,1,157.04
workloada.spec,bwtree,2,274.584
workloada.spec,bwtree,2,265.093
workloada.spec,bwtree,2,248.643
workloada.spec,bwtree,4,454.412
workloada.spec,bwtree,4,488.613
workloada.spec,bwtree,4,486.169
workloada.spec,bwtree,8,486.037
workloada.spec,bwtree,8,505.349
workloada.spec,bwtree,8,532.901
workloada.spec,bwtree,16,515.07
workloada.spec,bwtree,16,520.92
workloada.spec,bwtree,16,507.285
workloada.spec,bwtree,32,479.662
workloada.spec,bwtree,32,524.817
workloada.spec,bwtree,32,560.82
workloadb.spec,bwtree,1,259.402
workloadb.spec,bwtree,1,271.444
workloadb.spec,bwtree,1,259.962
workloadb.spec,bwtree,2,452.946
workloadb.spec,bwtree,2,452.777
workloadb.spec,bwtree,2,447.708
workloadb.spec,bwtree,4,661.329
workloadb.spec,bwtree,4,620.086
workloadb.spec,bwtree,4,669.527
workloadb.spec,bwtree,8,633.198
workloadb.spec,bwtree,8,633.523
workloadb.spec,bwtree,8,627.423
workloadb.spec,bwtree,16,559.953
workloadb.spec,bwtree,16,537.299
workloadb.spec,bwtree,16,551.777
workloadb.spec,bwtree,32,571.919
workloadb.spec,bwtree,32,583.372
workloadb.spec,bwtree,32,543.291
workloadc.spec,bwtree,1,281.459
workloadc.spec,bwtree,1,281.926
workloadc.spec,bwtree,1,279.44
workloadc.spec,bwtree,2,486.263
workloadc.spec,bwtree,2,488.725
workloadc.spec,bwtree,2,501.8
workloadc.spec,bwtree,4,691.956
workloadc.spec,bwtree,4,703.59
workloadc.spec,bwtree,4,696.69
workloadc.spec,bwtree,8,634.382
workloadc.spec,bwtree,8,638.797
workloadc.spec,bwtree,8,669.455
workloadc.spec,bwtree,16,552.035
workloadc.spec,bwtree,16,596.606
workloadc.spec,bwtree,16,595.526
workloadc.spec,bwtree,32,628.947
workloadc.spec,bwtree,32,610.256
workloadc.spec,bwtree,32,594.799
workloadd.spec,bwtree,1,212.324
workloadd.spec,bwtree,1,222.778
workloadd.spec,bwtree,1,232.769
workloadd.spec,bwtree,2,369.433
workloadd.spec,bwtree,2,361.362
workloadd.spec,bwtree,2,381.351
workloadd.spec,bwtree,4,573.48
workloadd.spec,bwtree,4,551.603
workloadd.spec,bwtree,4,618.178
workloadd.spec,bwtree,8,616.973
workloadd.spec,bwtree,8,639.831
workloadd.spec,bwtree,8,641.551
workloadd.spec,bwtree,16,570.249
workloadd.spec,bwtree,16,572.26
workloadd.spec,bwtree,16,527.949
workloadd.spec,bwtree,32,617.988
workloadd.spec,bwtree,32,614.722
workloadd.spec,bwtree,32,512.582
