workload,db,threads,throughput
workloada.spec,bwtree,1,178.79
workloada.spec,bwtree,2,315.415
workloada.spec,bwtree,4,518.224
workloada.spec,bwtree,8,606.732
workloada.spec,bwtree,16,554.283
workloada.spec,bwtree,32,575.406
workloadb.spec,bwtree,1,264.042
workloadb.spec,bwtree,2,461.467
workloadb.spec,bwtree,4,688.844
workloadb.spec,bwtree,8,669.516
workloadb.spec,bwtree,16,607.243
workloadb.spec,bwtree,32,578.006
workloadc.spec,bwtree,1,279.821
workloadc.spec,bwtree,2,499.371
workloadc.spec,bwtree,4,717.903
workloadc.spec,bwtree,8,690.637
workloadc.spec,bwtree,16,606.924
workloadc.spec,bwtree,32,496.625
workloadd.spec,bwtree,1,213.009
workloadd.spec,bwtree,2,388.822
workloadd.spec,bwtree,4,531.828
workloadd.spec,bwtree,8,590.971
workloadd.spec,bwtree,16,561.091
workloadd.spec,bwtree,32,646.956
